IDX	STEP	WORK	TIME	  LOOP	ALARM	Cur	Vol	Cap	Tmp	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24
1	1	44	00:10:01  1	80	-6.00	230.00	0.99	0.00	12.789	12.787	12.765	12.774	12.792	12.784	12.799	12.799	12.785	12.790	12.783	12.788	12.762	12.793	12.799	12.775	12.782	12.722	0.010	0.005	0.004	0.002	0.002	0.008	
2	1	44	00:20:01  1	80	-6.00	226.70	1.99	0.00	12.702	12.693	12.683	12.690	12.695	12.698	12.714	12.702	12.698	12.701	12.699	12.692	12.687	12.704	12.697	12.692	12.694	12.630	0.002	0.007	0.011	0.002	0.003	0.009	
3	1	44	00:30:01  1	80	-6.00	224.90	2.99	0.00	12.600	12.596	12.582	12.578	12.603	12.593	12.606	12.600	12.592	12.597	12.591	12.590	12.581	12.601	12.604	12.592	12.589	12.526	0.008	0.005	-0.002	0.012	0.018	0.007	
4	1	44	00:40:01  1	80	-6.00	222.90	3.99	0.00	12.486	12.485	12.465	12.471	12.482	12.487	12.493	12.494	12.491	12.484	12.484	12.481	12.472	12.491	12.496	12.484	12.477	12.409	0.006	0.011	0.003	0.014	0.001	0.001	
5	1	44	00:50:01  1	80	-6.00	220.90	4.99	0.00	12.369	12.360	12.353	12.358	12.360	12.368	12.383	12.374	12.360	12.368	12.368	12.361	12.357	12.373	12.365	12.349	12.367	12.300	0.005	0.005	0.006	0.006	0.003	0.008	
6	1	44	01:00:01  1	80	-6.00	218.60	5.99	0.00	12.236	12.230	12.224	12.230	12.230	12.235	12.254	12.246	12.235	12.237	12.237	12.236	12.221	12.245	12.246	12.227	12.233	12.171	0.006	0.006	0.007	0.007	0.001	0.009	
7	1	44	01:10:01  1	80	-6.00	216.20	6.99	0.00	12.105	12.098	12.079	12.085	12.095	12.099	12.112	12.112	12.098	12.095	12.098	12.097	12.082	12.105	12.106	12.088	12.095	12.032	0.007	0.005	0.006	0.006	0.005	0.010	
8	1	44	01:20:02  1	80	-6.00	213.40	7.99	0.00	11.950	11.947	11.938	11.934	11.940	11.957	11.966	11.957	11.951	11.952	11.944	11.947	11.941	11.952	11.952	11.947	11.952	11.874	0.006	0.010	0.005	0.002	0.007	0.007	
9	1	44	01:30:02  1	80	-6.00	210.60	8.99	0.00	11.797	11.799	11.782	11.778	11.789	11.805	11.811	11.808	11.797	11.802	11.792	11.790	11.792	11.805	11.796	11.795	11.799	11.716	0.010	0.011	0.003	0.003	0.010	0.008	
10	1	44	01:40:00  1	80	-6.00	207.70	9.99	0.00	11.634	11.638	11.616	11.614	11.626	11.640	11.649	11.646	11.635	11.632	11.624	11.629	11.628	11.637	11.636	11.636	11.627	11.549	0.011	0.006	0.003	0.008	0.008	0.005	
11	2	44	00:00:01  1	80	-6.00	207.70	0.00	0.00	11.640	11.634	11.612	11.618	11.626	11.635	11.648	11.649	11.632	11.629	11.629	11.628	11.623	11.640	11.637	11.629	11.627	11.549	0.011	0.006	0.003	0.008	0.008	0.005	
12	2	44	00:00:11  1	80	-6.00	207.60	0.02	0.00	11.631	11.633	11.615	11.609	11.620	11.638	11.649	11.640	11.626	11.635	11.622	11.619	11.625	11.640	11.625	11.629	11.631	11.543	0.008	0.010	0.002	0.004	0.007	0.010	
13	2	44	00:00:20  1	80	-6.00	207.60	0.03	0.00	11.633	11.631	11.607	11.615	11.621	11.630	11.644	11.644	11.632	11.626	11.617	11.622	11.620	11.630	11.630	11.627	11.622	11.539	0.009	0.006	0.001	0.008	0.007	0.004	
14	2	44	00:00:31  1	80	-6.00	207.50	0.05	0.00	11.629	11.622	11.610	11.611	11.611	11.629	11.647	11.637	11.622	11.628	11.615	11.612	11.620	11.633	11.618	11.620	11.625	11.535	0.007	0.013	0.004	0.003	0.006	0.006	
15	2	44	00:00:41  1	80	-6.00	207.40	0.07	0.00	11.628	11.623	11.601	11.607	11.612	11.623	11.638	11.635	11.618	11.618	11.615	11.614	11.608	11.631	11.623	11.617	11.615	11.536	0.010	0.005	0.002	0.009	0.004	0.005	
16	2	44	00:00:50  1	80	-6.00	207.40	0.08	0.00	11.619	11.617	11.604	11.608	11.604	11.620	11.643	11.632	11.615	11.622	11.611	11.607	11.614	11.630	11.613	11.616	11.619	11.531	0.008	0.012	0.006	0.004	0.007	0.008	
17	2	44	00:01:01  1	80	-6.00	207.30	0.10	0.00	11.622	11.617	11.594	11.601	11.609	11.618	11.634	11.634	11.617	11.612	11.610	11.608	11.605	11.625	11.618	11.617	11.610	11.530	0.009	0.006	0.004	0.008	0.004	0.007	
18	2	44	00:01:11  1	80	-6.00	207.30	0.12	0.00	11.612	11.617	11.599	11.597	11.603	11.620	11.635	11.623	11.612	11.617	11.602	11.603	11.610	11.620	11.608	11.615	11.610	11.522	0.010	0.012	0.003	0.005	0.009	0.008	
19	2	44	00:01:20  1	80	-6.00	207.20	0.13	0.00	11.611	11.615	11.594	11.589	11.600	11.617	11.627	11.621	11.614	11.608	11.599	11.607	11.603	11.613	11.611	11.612	11.602	11.522	0.010	0.006	0.003	0.007	0.007	0.004	
20	2	44	00:01:31  1	80	-6.00	207.20	0.15	0.00	11.616	11.609	11.586	11.594	11.599	11.608	11.626	11.623	11.604	11.605	11.602	11.599	11.595	11.615	11.610	11.603	11.600	11.521	0.009	0.005	0.004	0.007	0.006	0.007	
21	2	44	00:01:41  1	80	-6.00	207.10	0.17	0.00	11.610	11.602	11.589	11.589	11.589	11.609	11.626	11.615	11.600	11.604	11.600	11.593	11.595	11.615	11.603	11.599	11.602	11.519	0.007	0.009	0.006	0.004	0.005	0.008	
22	2	44	00:01:50  1	80	-6.00	207.10	0.18	0.00	11.600	11.602	11.586	11.587	11.588	11.606	11.624	11.611	11.600	11.606	11.593	11.588	11.598	11.609	11.597	11.601	11.602	11.510	0.008	0.012	0.004	0.004	0.009	0.008	
23	2	44	00:02:01  1	80	-6.00	207.10	0.20	0.00	11.603	11.604	11.579	11.579	11.591	11.603	11.613	11.613	11.600	11.594	11.588	11.592	11.589	11.603	11.601	11.600	11.593	11.512	0.010	0.009	0.002	0.007	0.008	0.004	
24	2	44	00:02:11  1	80	-6.00	207.00	0.22	0.00	11.595	11.595	11.579	11.576	11.581	11.602	11.616	11.609	11.597	11.599	11.589	11.581	11.588	11.603	11.592	11.592	11.596	11.505	0.007	0.011	0.006	0.002	0.009	0.011	
25	2	44	00:02:20  1	80	-6.00	207.00	0.23	0.00	11.596	11.597	11.572	11.575	11.584	11.595	11.609	11.608	11.592	11.587	11.584	11.586	11.583	11.597	11.594	11.589	11.586	11.503	0.011	0.006	0.001	0.008	0.008	0.004	
26	2	44	00:02:31  1	80	-6.00	206.90	0.25	0.00	11.591	11.594	11.570	11.569	11.580	11.594	11.604	11.602	11.591	11.594	11.575	11.579	11.584	11.593	11.583	11.590	11.587	11.498	0.009	0.010	0.001	0.006	0.008	0.005	
27	2	44	00:02:41  1	80	-6.00	206.90	0.27	0.00	11.589	11.584	11.572	11.570	11.571	11.592	11.608	11.596	11.586	11.589	11.575	11.573	11.581	11.592	11.580	11.587	11.583	11.493	0.007	0.008	0.002	0.006	0.009	0.008	
28	2	44	00:02:50  1	80	-6.00	206.80	0.28	0.00	11.588	11.586	11.561	11.568	11.573	11.586	11.602	11.600	11.579	11.579	11.576	11.575	11.570	11.590	11.585	11.578	11.579	11.496	0.009	0.007	0.008	0.006	0.003	0.009	
29	2	44	00:03:01  1	80	-6.00	206.80	0.30	0.00	11.581	11.584	11.559	11.559	11.571	11.583	11.593	11.594	11.582	11.575	11.569	11.572	11.568	11.579	11.582	11.579	11.576	11.487	0.010	0.008	0.002	0.007	0.009	0.007	
30	2	44	00:03:11  1	80	-6.00	206.70	0.32	0.00	11.576	11.581	11.561	11.554	11.566	11.584	11.592	11.586	11.575	11.579	11.564	11.564	11.569	11.585	11.569	11.577	11.576	11.483	0.008	0.012	0.002	0.006	0.008	0.007	
31	2	44	00:03:20  1	80	-6.00	206.60	0.33	0.00	11.579	11.578	11.551	11.557	11.566	11.576	11.594	11.588	11.574	11.569	11.567	11.565	11.564	11.580	11.574	11.576	11.566	11.481	0.011	0.007	0.000	0.009	0.007	0.005	
32	2	44	00:03:31  1	80	-6.00	206.50	0.35	0.00	11.569	11.572	11.555	11.550	11.559	11.580	11.593	11.581	11.568	11.573	11.560	11.557	11.565	11.578	11.565	11.570	11.570	11.478	0.007	0.010	0.003	0.005	0.009	0.007	
33	2	44	00:03:41  1	80	-6.00	206.50	0.37	0.00	11.574	11.569	11.545	11.550	11.558	11.568	11.586	11.584	11.565	11.563	11.560	11.558	11.557	11.575	11.568	11.562	11.561	11.482	0.008	0.006	0.006	0.007	0.006	0.007	
34	2	44	00:03:50  1	80	-6.00	206.40	0.38	0.00	11.568	11.561	11.548	11.550	11.548	11.568	11.587	11.575	11.561	11.566	11.553	11.549	11.559	11.573	11.559	11.563	11.560	11.476	0.006	0.010	0.007	0.004	0.005	0.009	
35	2	44	00:04:01  1	80	-6.00	206.30	0.40	0.00	11.566	11.565	11.539	11.543	11.550	11.562	11.577	11.575	11.563	11.559	11.549	11.555	11.554	11.563	11.561	11.562	11.553	11.471	0.009	0.007	0.003	0.009	0.009	0.003	
36	2	44	00:04:11  1	80	-6.00	206.30	0.42	0.00	11.559	11.557	11.546	11.539	11.541	11.563	11.582	11.567	11.557	11.563	11.544	11.548	11.555	11.564	11.552	11.558	11.554	11.464	0.009	0.010	0.002	0.005	0.010	0.009	
37	2	44	00:04:20  1	80	-6.00	206.30	0.43	0.00	11.560	11.558	11.530	11.537	11.545	11.556	11.573	11.569	11.553	11.551	11.547	11.546	11.544	11.562	11.555	11.549	11.549	11.468	0.009	0.006	0.005	0.007	0.007	0.004	
38	2	44	00:04:31  1	80	-6.00	206.20	0.45	0.00	11.552	11.557	11.533	11.529	11.540	11.559	11.567	11.564	11.553	11.548	11.538	11.539	11.548	11.557	11.545	11.553	11.548	11.457	0.009	0.010	0.001	0.007	0.010	0.005	
39	2	44	00:04:41  1	80	-6.00	206.20	0.47	0.00	11.548	11.547	11.531	11.532	11.531	11.552	11.570	11.559	11.544	11.550	11.539	11.533	11.543	11.556	11.542	11.546	11.548	11.456	0.007	0.010	0.004	0.004	0.008	0.009	
40	2	44	00:04:50  1	80	-6.00	206.10	0.48	0.00	11.547	11.551	11.526	11.524	11.534	11.552	11.561	11.560	11.546	11.546	11.532	11.534	11.543	11.549	11.542	11.549	11.542	11.454	0.010	0.010	-0.001	0.005	0.009	0.005	
41	2	44	00:05:01  1	80	-6.00	206.10	0.50	0.00	11.549	11.540	11.523	11.528	11.528	11.544	11.565	11.554	11.536	11.542	11.534	11.527	11.534	11.552	11.536	11.537	11.541	11.451	0.006	0.010	0.006	0.004	0.008	0.010	
42	2	44	00:05:11  1	80	-6.00	206.00	0.52	0.00	11.542	11.543	11.517	11.519	11.528	11.542	11.556	11.552	11.539	11.534	11.528	11.530	11.530	11.542	11.539	11.535	11.533	11.447	0.011	0.008	0.001	0.008	0.009	0.005	
43	2	44	00:05:20  1	80	-6.00	205.90	0.53	0.00	11.540	11.533	11.516	11.520	11.520	11.539	11.559	11.549	11.529	11.537	11.525	11.520	11.530	11.545	11.529	11.531	11.532	11.447	0.007	0.007	0.006	0.005	0.004	0.009	
44	2	44	00:05:31  1	80	-6.00	205.80	0.55	0.00	11.536	11.536	11.508	11.512	11.522	11.534	11.549	11.548	11.536	11.530	11.518	11.523	11.527	11.534	11.530	11.533	11.525	11.440	0.010	0.009	0.001	0.008	0.007	0.005	
45	2	44	00:05:41  1	80	-6.00	205.80	0.57	0.00	11.530	11.530	11.515	11.508	11.512	11.537	11.552	11.536	11.529	11.530	11.516	11.516	11.525	11.534	11.523	11.531	11.525	11.431	0.009	0.011	0.002	0.006	0.008	0.005	
46	2	44	00:05:50  1	80	-6.00	205.70	0.58	0.00	11.532	11.526	11.502	11.510	11.513	11.526	11.547	11.541	11.523	11.521	11.514	11.518	11.517	11.530	11.527	11.524	11.517	11.436	0.011	0.005	0.005	0.007	0.005	0.007	
47	2	44	00:06:01  1	80	-6.00	205.70	0.60	0.00	11.522	11.523	11.507	11.501	11.507	11.530	11.545	11.530	11.524	11.524	11.508	11.511	11.520	11.526	11.517	11.525	11.518	11.424	0.009	0.011	0.003	0.006	0.009	0.009	
48	2	44	00:06:11  1	80	-6.00	205.60	0.62	0.00	11.525	11.518	11.498	11.503	11.505	11.519	11.540	11.533	11.512	11.517	11.509	11.510	11.509	11.523	11.520	11.516	11.509	11.430	0.009	0.005	0.005	0.008	0.004	0.007	
49	2	44	00:06:20  1	80	-6.00	205.60	0.63	0.00	11.519	11.512	11.499	11.497	11.496	11.521	11.539	11.525	11.511	11.516	11.508	11.502	11.507	11.526	11.513	11.510	11.515	11.427	0.005	0.007	0.007	0.004	0.005	0.008	
50	2	44	00:06:31  1	80	-6.00	205.50	0.65	0.00	11.512	11.517	11.495	11.491	11.497	11.521	11.533	11.524	11.513	11.511	11.498	11.503	11.509	11.517	11.510	11.516	11.505	11.418	0.010	0.009	0.002	0.009	0.008	0.004	
51	2	44	00:06:41  1	80	-6.00	205.50	0.67	0.00	11.514	11.507	11.490	11.492	11.491	11.511	11.535	11.519	11.505	11.510	11.498	11.492	11.502	11.518	11.501	11.506	11.503	11.417	0.007	0.008	0.005	0.006	0.007	0.010	
52	2	44	00:06:50  1	80	-6.00	205.40	0.68	0.00	11.508	11.512	11.485	11.482	11.494	11.511	11.521	11.518	11.507	11.500	11.491	11.495	11.496	11.508	11.500	11.507	11.501	11.404	0.011	0.010	0.001	0.007	0.010	0.004	
53	2	44	00:07:01  1	80	-6.00	205.40	0.70	0.00	11.501	11.507	11.487	11.482	11.483	11.508	11.523	11.510	11.502	11.505	11.487	11.488	11.500	11.508	11.494	11.503	11.499	11.399	0.010	0.010	0.001	0.005	0.009	0.006	
54	2	44	00:07:11  1	80	-6.00	205.30	0.72	0.00	11.504	11.496	11.480	11.482	11.479	11.502	11.521	11.509	11.497	11.502	11.485	11.481	11.493	11.506	11.491	11.493	11.495	11.403	0.006	0.008	0.005	0.006	0.005	0.009	
55	2	44	00:07:20  1	80	-6.00	205.30	0.73	0.00	11.494	11.500	11.477	11.471	11.481	11.503	11.512	11.509	11.498	11.494	11.480	11.487	11.490	11.496	11.493	11.497	11.486	11.394	0.011	0.006	0.004	0.008	0.006	0.005	
56	2	44	00:07:31  1	80	-6.00	205.10	0.75	0.00	11.490	11.494	11.476	11.469	11.474	11.499	11.512	11.501	11.493	11.494	11.476	11.482	11.489	11.495	11.488	11.493	11.490	11.388	0.009	0.009	0.005	0.004	0.009	0.010	
57	2	44	00:07:41  1	80	-6.00	205.10	0.77	0.00	11.490	11.487	11.470	11.466	11.469	11.496	11.512	11.495	11.484	11.489	11.479	11.473	11.482	11.498	11.482	11.484	11.484	11.386	0.006	0.008	0.007	0.003	0.008	0.010	
58	2	44	00:07:50  1	80	-6.00	205.00	0.78	0.00	11.491	11.488	11.459	11.466	11.472	11.486	11.505	11.500	11.486	11.481	11.472	11.476	11.478	11.487	11.484	11.485	11.475	11.386	0.011	0.005	0.005	0.009	0.005	0.005	
59	2	44	00:08:01  1	80	-6.00	204.90	0.80	0.00	11.479	11.483	11.464	11.461	11.462	11.490	11.504	11.491	11.481	11.484	11.466	11.469	11.477	11.485	11.474	11.483	11.477	11.373	0.010	0.009	0.003	0.005	0.009	0.006	
60	2	44	00:08:11  1	80	-6.00	204.80	0.82	0.00	11.484	11.478	11.454	11.460	11.464	11.478	11.500	11.494	11.474	11.475	11.465	11.463	11.467	11.486	11.475	11.471	11.468	11.377	0.009	0.004	0.005	0.008	0.006	0.007	
61	2	44	00:08:20  1	80	-6.00	204.80	0.83	0.00	11.481	11.472	11.450	11.454	11.462	11.477	11.494	11.491	11.472	11.471	11.464	11.463	11.463	11.483	11.474	11.471	11.466	11.375	0.007	0.007	0.007	0.007	0.004	0.005	
62	2	44	00:08:31  1	80	-6.00	204.70	0.85	0.00	11.478	11.469	11.448	11.453	11.452	11.472	11.495	11.486	11.465	11.469	11.460	11.455	11.464	11.479	11.471	11.466	11.468	11.371	0.007	0.004	0.006	0.007	0.005	0.006	
63	2	44	00:08:41  1	80	-6.00	204.60	0.87	0.00	11.469	11.466	11.448	11.450	11.447	11.469	11.492	11.482	11.460	11.469	11.457	11.453	11.458	11.478	11.462	11.461	11.465	11.366	0.005	0.008	0.006	0.004	0.006	0.008	
64	2	44	00:08:50  1	80	-6.00	204.50	0.88	0.00	11.466	11.461	11.445	11.443	11.445	11.469	11.489	11.474	11.459	11.467	11.450	11.446	11.461	11.471	11.454	11.462	11.463	11.358	0.007	0.009	0.003	0.004	0.009	0.008	
65	2	44	00:09:01  1	80	-6.00	204.40	0.90	0.00	11.464	11.463	11.436	11.438	11.446	11.462	11.480	11.477	11.460	11.454	11.447	11.450	11.449	11.466	11.458	11.455	11.451	11.357	0.010	0.008	0.003	0.008	0.007	0.005	
66	2	44	00:09:11  1	80	-6.00	204.40	0.92	0.00	11.455	11.460	11.436	11.429	11.439	11.463	11.473	11.467	11.454	11.460	11.439	11.440	11.453	11.462	11.448	11.457	11.452	11.349	0.010	0.010	0.003	0.006	0.010	0.006	
67	2	44	00:09:20  1	80	-6.00	204.30	0.93	0.00	11.459	11.450	11.429	11.431	11.433	11.454	11.474	11.469	11.450	11.448	11.441	11.441	11.442	11.460	11.451	11.448	11.445	11.350	0.007	0.007	0.006	0.005	0.005	0.008	
68	2	44	00:09:31  1	80	-6.00	204.30	0.95	0.00	11.450	11.453	11.427	11.422	11.434	11.456	11.464	11.461	11.451	11.446	11.433	11.438	11.441	11.450	11.445	11.448	11.438	11.346	0.009	0.011	0.001	0.006	0.009	0.006	
69	2	44	00:09:41  1	80	-6.00	204.20	0.97	0.00	11.448	11.443	11.424	11.424	11.422	11.451	11.470	11.461	11.440	11.444	11.434	11.428	11.437	11.455	11.440	11.439	11.440	11.344	0.006	0.008	0.008	0.006	0.005	0.008	
70	2	44	00:09:50  1	80	-6.00	204.10	0.98	0.00	11.446	11.439	11.422	11.423	11.421	11.448	11.467	11.453	11.435	11.443	11.427	11.423	11.436	11.451	11.431	11.439	11.439	11.338	0.006	0.007	0.007	0.006	0.005	0.010	
